단체:제작	영국에서 사용되는 스포츠 유틸리티 <e2> 자동차 </e2> 의 브랜드로는 <e1> 랜드로버 </e1> (Land Rover)와 지프(Jeep)가 있으며, 이 브랜드들은 자동차의 종류를 일컫는 말로 사용되기도 한다.
관계_없음	선거에서 <e1> 민주당 </e1> 은 해산 전 의석인 230석에 한참 못 미치는 57석(지역구 <e2> 27석 </e2> , 비례대표 30석)을 획득하는 데 그쳤다.
단체:별칭	<e1> 유럽 축구 연맹 </e1> (<e2> UEFA </e2> ) 집행위원회는 2014년 1월 24일에 열린 회의를 통해 2017년 대회부터 UEFA U-21 축구 선수권 대회 참가국을 8개국에서 12개국으로 확대하기로 결정했다.
인물:직업/직함	용병 <e2> 공격수 </e2> 챠디의 부진과 시즌 초 활약한 <e1> 강수일 </e1> 의 침체, 시즌 중반에 영입한 세르비아 출신 용병 미드필더 오그넨 코로만의 부상 등이 부진의 원인으로 지적되던 가운데 인천은 시즌 마지막 4경기에서 3승 1패를 거두며 막판 승점 쌓기에 성공, 정규리그 순위 5위로 플레이오프에 진출하는 데에 성공했다.
인물:부모님	<e1> 람캄행 </e1> 왕은 1237년에서 1247년 사이 수코타이의 왕 <e2> 퍼쿤 씨 인트라팃 </e2> 과 쓰엉 부인 사이의 셋째 아들로 태어났다.
관계_없음	이와 관련해 AFCD는 대학 소속 <e2> 전문가 </e2> 와 세계동물보건기구(<e1> OIE </e1> )가 사람과 동물 사이에서 코로나19가 전파될 가능성이 크다고 밝혔다고 전했다.
단체:제작	"신형 <e2> K5 </e2> 사전계약 돌풍에 대해 <e1> 기아자동차 </e1> 관계자는 ""한눈에 각인될 정도의 강렬한 디자인의 영향이 컸다""고 밝혔다."
단체:모회사	2008년 이전 팀명칭은 <e1> 나고야 그램퍼스 </e1> 에이트였고 에이트는 나고야 시 표장에 있는 숫자(八)와 모기업 <e2> 토요타 자동차 </e2> 의 브랜드를 상징하였으나, 2008년부터 에이트를 제외하고 팀 명칭을 나고야 그램퍼스로 호칭하고 있다.
단체:구성원	SW융합교육원 <e2> 조영주 </e2> 담당교수는 “4차 산업혁명에 따라 SW역량은 전문가뿐만 아니라 일반시민에게도 꼭 필요한 기술이 되고 있다”면서 “호남권 최초의 소프트웨어 중심대학인 <e1> 조선대학교 </e1> 는 이번 프로젝트를 통해 SW교육을 접하기 힘든 환경에 있었던 분들이 SW기술에 한층 가까워지게 되어 보람을 느꼈다”고 진행 소감을 전했다.
관계_없음	김동양 NH투자증권 연구원은 “<e1> 삼성SDS </e1> 의 3분기 매출액은 2조6604억원, 영업이익은 2213억원으로 예상된다”라며 “매출액은 지난해 같은 기간에 비해 <e2> 10% </e2> 늘어 시장 기대치를 충족할 것으로 보이며, 영업이익은 11% 증가가 예상되지만 기대치는 하회할 것으로 추정된다”라고 설명했다.
